year,acousticness,danceability,duration_ms,energy,loudness,instrumentalness,liveness,speechiness,tempo,valence,popularity,key
1921,0.99,0.418,177067.0,0.226,-15.800999999999998,0.0167,0.166,0.05550786838340486,92.867,0.46299999999999997,0.0,7
1922,0.9940000000000001,0.4895,168053.5,0.201,-18.621000000000002,0.3245,0.1575,0.0532904148783977,89.6905,0.549,0.0,10
1923,0.992,0.5765,180347.0,0.2465,-13.9605,0.21799999999999997,0.1725,0.0544349070100143,108.38050000000001,0.6114999999999999,4.0,0
1924,0.9940000000000001,0.565,173713.0,0.32399999999999995,-13.8655,0.844,0.183,0.05851216022889842,118.24549999999999,0.6995,0.0,10
1925,0.9890000000000001,0.575,179360.0,0.239,-13.552,0.174,0.155,0.060085836909871244,114.038,0.659,0.0,5
1926,0.992,0.52,174987.0,0.217,-16.051,0.853,0.134,0.0636623748211731,102.758,0.562,0.0,5
1927,0.992,0.6925,172760.0,0.223,-14.5625,0.2945,0.11649999999999999,0.06545064377682402,115.786,0.7075,0.0,7
1928,0.992,0.523,177507.0,0.191,-16.117,0.7340000000000001,0.122,0.06666666666666667,111.163,0.5479999999999999,0.0,7
1929,0.991,0.6559999999999999,176000.0,0.21600000000000005,-13.54,0.34299999999999997,0.131,0.06666666666666667,117.64399999999999,0.695,0.0,7
1930,0.988,0.503,188813.0,0.313,-11.652999999999999,0.168,0.154,0.06566523605150214,109.779,0.6629999999999999,0.0,2
1931,0.986,0.521,181800.0,0.243,-15.588,0.18100000000000002,0.175,0.06509298998569384,109.315,0.632,0.0,5
1932,0.973,0.5670000000000001,183000.0,0.245,-12.908,0.039599999999999996,0.16899999999999998,0.06645207439198855,118.60300000000001,0.6134999999999999,0.0,5
1933,0.97,0.615,178600.0,0.243,-12.432,0.0006940000000000001,0.158,0.06781115879828326,113.39,0.6629999999999999,3.0,5
1934,0.9740000000000001,0.551,184360.0,0.215,-14.595999999999998,0.0199,0.152,0.06666666666666667,117.81200000000001,0.586,0.0,0
1935,0.965,0.5295000000000001,187751.0,0.256,-13.484000000000002,0.06035,0.156,0.06595135908440629,110.0265,0.5565,0.0,7
1936,0.961,0.5525,178200.0,0.2905,-11.7915,0.10450000000000001,0.1585,0.0675250357653791,110.908,0.595,1.0,5
1937,0.9520000000000001,0.585,180960.0,0.263,-12.502,0.057999999999999996,0.163,0.06351931330472102,114.335,0.6409999999999999,0.0,7
1938,0.976,0.504,190507.0,0.245,-13.845999999999998,0.24100000000000002,0.172,0.06380543633762517,111.74600000000001,0.5429999999999999,0.0,0
1939,0.9665,0.5225,182420.0,0.265,-13.1425,0.03325,0.16399999999999998,0.06688125894134478,112.7815,0.593,0.0,0
1940,0.982,0.473,192440.0,0.361,-11.296,0.256,0.158,0.06738197424892704,105.164,0.6659999999999999,0.0,7
1941,0.981,0.4895,181366.0,0.21550000000000002,-15.2965,0.36750000000000005,0.14,0.06766809728183118,104.4005,0.5085,0.0,7
1942,0.976,0.4675,186602.5,0.23,-14.211,0.1655,0.149,0.06623748211731044,103.197,0.48100000000000004,0.0,7
1943,0.9745,0.4785,183285.5,0.2375,-12.698,0.2585,0.1535,0.06351931330472102,100.101,0.5619999999999999,0.0,5
1944,0.9840000000000001,0.49750000000000005,185513.5,0.22949999999999998,-13.0195,0.5925,0.149,0.06623748211731044,103.66049999999998,0.6054999999999999,0.0,7
1945,0.9740000000000001,0.465,179267.0,0.223,-14.668,0.102,0.149,0.0636623748211731,101.56,0.501,0.0,7
1946,0.9835,0.397,187173.0,0.17,-17.1415,0.618,0.139,0.06666666666666667,97.215,0.345,0.0,7
1947,0.972,0.486,188240.0,0.23800000000000002,-13.465,0.085,0.156,0.06709585121602288,105.946,0.546,0.0,0
1948,0.9690000000000001,0.439,181872.5,0.21899999999999997,-14.2635,0.21400000000000002,0.153,0.06595135908440629,103.8835,0.4475,0.0,0
1949,0.96,0.44,184240.0,0.221,-13.83,0.0101,0.14400000000000002,0.0625178826895565,105.48299999999999,0.41600000000000004,0.0,0
1950,0.961,0.491,190552.5,0.31,-12.2585,0.009755,0.155,0.0642346208869814,110.1515,0.6094999999999999,0.0,7
1951,0.968,0.462,175663.5,0.22649999999999998,-15.040499999999998,0.007980000000000001,0.151,0.06309012875536481,106.3055,0.423,0.0,0
1952,0.96,0.45299999999999996,184667.0,0.21899999999999997,-14.804,0.00968,0.147,0.06165951359084405,103.101,0.456,0.0,0
1953,0.958,0.4320000000000001,184667.0,0.242,-14.434000000000001,0.0133,0.149,0.06151645207439198,105.04899999999999,0.405,0.0,0
1954,0.9279999999999999,0.478,184970.0,0.228,-14.622,0.00461,0.14300000000000002,0.06323319027181688,104.45299999999999,0.439,4.0,5
1955,0.909,0.498,186906.5,0.251,-13.293500000000002,0.002265,0.142,0.06137339055793991,106.91899999999998,0.47100000000000003,7.0,0
1956,0.875,0.501,183033.5,0.26899999999999996,-13.3485,0.00131,0.128,0.0625178826895565,108.465,0.5105,12.0,0
1957,0.85,0.521,185666.5,0.257,-13.581,0.00018449999999999999,0.129,0.0625178826895565,107.6155,0.5235000000000001,16.0,5
1958,0.831,0.498,174667.0,0.273,-13.404000000000002,0.000151,0.135,0.06094420600858368,109.141,0.502,14.0,0
1959,0.8354999999999999,0.505,174480.0,0.281,-13.505999999999998,0.00016299999999999998,0.129,0.06051502145922746,110.46000000000001,0.5,16.0,0
1960,0.8,0.513,169713.5,0.3165,-12.8915,6.620000000000001e-05,0.139,0.06237482117310443,111.7495,0.5479999999999999,15.0,5
1961,0.792,0.51,171867.0,0.303,-13.287,0.000522,0.135,0.06237482117310443,110.665,0.536,15.0,5
1962,0.773,0.519,164693.0,0.364,-12.171,8.37e-05,0.142,0.06237482117310443,112.919,0.595,17.0,0
1963,0.7859999999999999,0.499,165360.0,0.335,-12.697,0.00010850000000000001,0.135,0.0650214592274678,111.6065,0.5660000000000001,22.0,0
1964,0.759,0.515,165807.0,0.368,-11.782499999999999,2.8150000000000013e-05,0.13699999999999998,0.0625178826895565,113.3765,0.58,22.0,0
1965,0.6809999999999999,0.513,165000.0,0.428,-11.027000000000001,1.82e-05,0.136,0.06351931330472102,115.867,0.6,23.0,0
1966,0.564,0.523,169747.0,0.467,-10.955,4.31e-05,0.139,0.06280400572246066,115.06200000000001,0.627,25.0,9
1967,0.555,0.5085,173140.0,0.4445,-11.0365,5.4299999999999985e-05,0.132,0.06387696709585121,115.14500000000001,0.579,28.0,0
1968,0.5185,0.509,183881.5,0.45,-11.712,0.000146,0.141,0.06459227467811157,113.0005,0.5905,28.0,0
1969,0.45299999999999996,0.4970000000000001,199646.5,0.485,-11.479000000000001,0.001165,0.132,0.06280400572246066,113.36449999999999,0.58,30.0,2
1970,0.45199999999999996,0.516,209460.0,0.4895,-11.3315,0.0006365,0.132,0.06208869814020028,114.52250000000001,0.589,32.0,2
1971,0.442,0.508,216867.0,0.489,-11.6345,0.0009555,0.13,0.06237482117310443,115.036,0.604,32.0,7
1972,0.46399999999999997,0.532,211933.0,0.496,-11.419,0.00040899999999999997,0.131,0.06309012875536481,117.39,0.629,33.0,7
1973,0.391,0.519,223465.0,0.537,-10.929,0.000317,0.127,0.06208869814020028,120.633,0.618,35.0,0
1974,0.44,0.529,222840.0,0.508,-11.419,0.0004730000000000001,0.132,0.0636623748211731,118.85799999999999,0.625,30.0,7
1975,0.397,0.531,223773.5,0.5345,-10.814,0.0004685,0.129,0.06380543633762517,118.2115,0.607,32.0,9
1976,0.313,0.544,233733.0,0.565,-10.698,0.000458,0.13699999999999998,0.06294706723891273,119.958,0.626,34.0,2
1977,0.253,0.5445,228220.0,0.555,-10.509,0.0007390000000000001,0.124,0.06380543633762517,120.7405,0.626,33.0,9
1978,0.22899999999999998,0.5529999999999999,228173.0,0.5760000000000001,-10.363,0.00028900000000000003,0.13,0.06409155937052932,120.721,0.623,33.0,9
